"","Country","Total_cases","Total_deaths","Pop_millions","Continent","fully_vax_count","Percent_Over_65","km2","GDP_per_capita","Obesity_rate","cvd_death_rate"
"35","Austria",4579384,20135,8.92,"Europe",6822860,19.87,106,53268,20.1,150.56
"36","Uruguay",965370,7373,3.47,"South America",2894792,14.71,19,17021,27.9,161.56
"37","France",30565752,142571,67.39,"Europe",53120889,20.46,117,43519,21.6,91.41
"38","Ecuador",922398,35755,17.64,"South America",14203618,8.15,69,5935,19.9,163.66
"39","Estonia",585143,2608,1.33,"Europe",847925,21,29,27281,21.2,270.56
"40","Panama",938791,8384,4.31,"North America",3159760,9.01,58,14517,22.7,123.82
"41","Bolivia",948655,21970,11.67,"South America",6160585,5.71,11,3415,20.2,214.43
"42","Sweden",2523404,19144,10.35,"Europe",7631000,20.59,23,60239,20.6,138.59
"43","Kosovo",232027,3145,1.78,"Europe",824946,NA,178,4987,NA,NA
"44","South Africa",3997975,101880,59.31,"Africa",19559654,6.09,49,6994,28.3,222.65
"45","Germany",29308100,142139,83.24,"Europe",63514933,22.99,234,50802,22.3,159.36
"46","Iran",7255017,141451,83.99,"Asia",58508959,5.87,54,2757,25.8,277.73
"47","Costa Rica",904934,8525,5.09,"North America",4283384,8.76,101,12509,25.7,128.49
"48","Switzerland",3861756,13848,8.64,"Europe",6011892,18.73,211,93457,19.5,107.06
"49","Namibia",169253,4068,2.54,"Africa",522136,3.9,3,4729,17.2,316.07
"50","Lebanon",1126411,10479,6.83,"Asia",2413718,7.96,535,2670,32,322.3
"51","Ireland",1614631,7536,4.99,"Europe",4056094,13.82,71,99152,25.3,132.77
"52","Jordan",1702661,14069,10.2,"Asia",4558313,3.67,125,4406,35.5,248.89
"53","Albania",289391,3516,2.84,"Europe",1269112,13.03,99,6494,21.7,314.04
"54","Eswatini",73227,1417,1.16,"Africa",490673,3.83,69,4215,16.5,339.83
